organization,abbreviation,type,domain,scope,hq_country,founded,url,pep_url,pep_label
Arab Organization for Agricultural Development,AOAD,Treaty IGO,Agriculture & food,Regional,Sudan,1970,http://www.aoad.org,https://www.aoad.org/EStructure.htm,Organization structure
Codex Alimentarius Commission,Codex,Treaty IGO,Agriculture & food,Global,Italy,1963,https://www.fao.org/fao-who-codexalimentarius,https://www.fao.org/fao-who-codexalimentarius/committees/executive-committee/about/en/,Executive Committee
Codex Alimentarius Commission,Codex,Treaty IGO,Agriculture & food,Global,Italy,1963,https://www.fao.org/fao-who-codexalimentarius,https://www.fao.org/fao-who-codexalimentarius/committees/cac/about/en/,Commission officers
Global Crop Diversity Trust,Crop Trust,Treaty IGO,Agriculture & food,Global,Germany,2004,https://www.croptrust.org,https://www.croptrust.org/about/governance/executive-board/,Executive Board
Global Crop Diversity Trust,Crop Trust,Treaty IGO,Agriculture & food,Global,Germany,2004,https://www.croptrust.org,https://www.croptrust.org/who-we-are/team/,Team
Inter-American Institute for Cooperation on Agriculture,IICA,Treaty IGO,Agriculture & food,Regional,Costa Rica,1942,https://www.iica.int,https://iica.int/en/about-us/dg/,Director General office
International Cocoa Organization,ICCO,Treaty IGO,Agriculture & food,Global,Ivory Coast,1973,https://www.icco.org,https://www.icco.org/who-we-are/governance/,Governance
International Cocoa Organization,ICCO,Treaty IGO,Agriculture & food,Global,Ivory Coast,1973,https://www.icco.org,https://www.icco.org/contact/contact_the_secretariat/,The Secretariat
International Coffee Organization,ICO,Treaty IGO,Agriculture & food,Global,United Kingdom,1963,https://www.ico.org,https://ico.org/governance-office-holders/,Governance Office Holders
International Coffee Organization,ICO,Treaty IGO,Agriculture & food,Global,United Kingdom,1963,https://www.ico.org,https://ico.org/what-we-do/secretariat/,Secretariat
International Cotton Advisory Committee,ICAC,Treaty IGO,Agriculture & food,Global,United States,1939,https://icac.org,https://icac.org/members-of-the-secretariat,Members of the Secretariat
International Grains Council,IGC,Treaty IGO,Agriculture & food,Global,United Kingdom,1949,https://www.igc.int,https://igc.int/public-site/aboutus.aspx,About us governance
International Jute Study Group,IJSG,Treaty IGO,Agriculture & food,Global,Bangladesh,2002,https://www.jute.org,,
International Olive Council,IOC,Treaty IGO,Agriculture & food,Global,Spain,1959,https://www.internationaloliveoil.org,https://www.internationaloliveoil.org/structure-2/,Organisation structure
International Olive Council,IOC,Treaty IGO,Agriculture & food,Global,Spain,1959,https://www.internationaloliveoil.org,http://www.internationaloliveoil.org/estaticos/view/140-directorship,Directorship
International Olive Council,IOC,Treaty IGO,Agriculture & food,Global,Spain,1959,https://www.internationaloliveoil.org,https://www.internationaloliveoil.org/who-we-are/,Who we are
International Organisation of Vine and Wine,OIV,Treaty IGO,Agriculture & food,Global,France,1924,https://www.oiv.int,https://www.oiv.int/who-we-are/member-states-and-observers,Member States
International Sugar Organization,ISO,Treaty IGO,Agriculture & food,Global,United Kingdom,1968,https://www.isosugar.org,https://www.isosugar.org/aboutus/international-sugar-organization-team,Our Team
International Sugar Organization,ISO,Treaty IGO,Agriculture & food,Global,United Kingdom,1968,https://www.isosugar.org,https://www.isosugar.org/page/ISO%20Chairman%202026,Council Chairman
International Union for the Protection of New Varieties of Plants,UPOV,Treaty IGO,Agriculture & food,Global,Switzerland,1961,https://www.upov.int,https://www.upov.int/about/en/office_of_upov.html,Office of UPOV
International Union for the Protection of New Varieties of Plants,UPOV,Treaty IGO,Agriculture & food,Global,Switzerland,1961,https://www.upov.int,https://www.upov.int/about/en/organigram.html,Office organigram
Biological Weapons Convention Implementation Support Unit,BWC ISU,Treaty IGO,Arms control,Global,Switzerland,2006,https://disarmament.unoda.org/biological-weapons,https://disarmament.unoda.org/en/our-work/weapons-mass-destruction/biological-weapons/implementation-support-unit,Implementation Support Unit
Comprehensive Nuclear-Test-Ban Treaty Organization,CTBTO,Treaty IGO,Arms control,Global,Austria,1996,https://www.ctbto.org,https://www.ctbto.org/our-mission/the-organization/the-provisional-technical-secretariat,Provisional Technical Secretariat
Comprehensive Nuclear-Test-Ban Treaty Organization,CTBTO,Treaty IGO,Arms control,Global,Austria,1996,https://www.ctbto.org,https://www.ctbto.org/our-mission/the-organization/the-provisional-technical-secretariat/cv-dr-robert-floyd,Executive Secretary
Comprehensive Nuclear-Test-Ban Treaty Organization,CTBTO,Treaty IGO,Arms control,Global,Austria,1996,https://www.ctbto.org,https://www.ctbto.org/the-organization/the-provisional-technical-secretariat-pts/organizational-structure-of-the-pts/,PTS organizational structure
Conference on Disarmament,CD,Treaty IGO,Arms control,Global,Switzerland,1979,https://disarmament.unoda.org/conference-on-disarmament,https://disarmament.unoda.org/en/our-work/disarmament-bodies/conference-disarmament,Conference on Disarmament
European Atomic Energy Community,EURATOM,Treaty IGO,Arms control,Regional,Belgium,1957,https://european-union.europa.eu,https://european-union.europa.eu/institutions-law-budget/institutions-and-bodies/search-all-eu-institutions-and-bodies/euratom-supply-agency-esa_en,Euratom Supply Agency
European Atomic Energy Community,EURATOM,Treaty IGO,Arms control,Regional,Belgium,1957,https://european-union.europa.eu,https://euratom-supply.ec.europa.eu/about-esa/governance/advisory-committee_en,ESA Advisory Committee
Organisation for the Prohibition of Chemical Weapons,OPCW,Treaty IGO,Arms control,Global,Netherlands,1997,https://www.opcw.org,https://www.opcw.org/about/technical-secretariat/leadership/director-general,Director-General
Organisation for the Prohibition of Chemical Weapons,OPCW,Treaty IGO,Arms control,Global,Netherlands,1997,https://www.opcw.org,https://www.opcw.org/about-us/executive-council,Executive Council
Organisation for the Prohibition of Chemical Weapons,OPCW,Treaty IGO,Arms control,Global,Netherlands,1997,https://www.opcw.org,https://www.opcw.org/about/technical-secretariat,Technical Secretariat
"Arab League Educational, Cultural and Scientific Organization",ALECSO,Treaty IGO,Education & culture,Regional,Tunisia,1970,https://www.alecso.org,http://www.alecso.org/nsite/en/organizational-structure,Organizational Structure
"Arab League Educational, Cultural and Scientific Organization",ALECSO,Treaty IGO,Education & culture,Regional,Tunisia,1970,https://www.alecso.org,https://www.alecso.org/nsite/en/director-general,Director-General
"Arab League Educational, Cultural and Scientific Organization",ALECSO,Treaty IGO,Education & culture,Regional,Tunisia,1970,https://www.alecso.org,http://www.alecso.org/nsite/en/executive-council-and-general-conference/executive-board/introduction-to-the-executive-board,Executive Board
European University Institute,EUI,Treaty IGO,Education & culture,Regional,Italy,1972,https://www.eui.eu,https://www.eui.eu/en/public/about/governing-bodies,Governing bodies
European University Institute,EUI,Treaty IGO,Education & culture,Regional,Italy,1972,https://www.eui.eu,https://www.eui.eu/en/public/about/governance,Governance and organisation
European University Institute,EUI,Treaty IGO,Education & culture,Regional,Italy,1972,https://www.eui.eu,https://www.eui.eu/en/public/about/president,President
"Islamic Educational, Scientific and Cultural Organization",ICESCO,Treaty IGO,Education & culture,Regional,Morocco,1979,https://www.icesco.org,https://icesco.org/en/who-we-are/about/icesco-leaders/,ICESCO Leaders
"Islamic Educational, Scientific and Cultural Organization",ICESCO,Treaty IGO,Education & culture,Regional,Morocco,1979,https://www.icesco.org,https://www.icesco.org/en/general-directorate/,General Directorate
Organization of Ibero-American States,OEI,Treaty IGO,Education & culture,Regional,Spain,1949,https://www.oei.int,https://oei.int/secretario-general/,Secretary General
Organization of Ibero-American States,OEI,Treaty IGO,Education & culture,Regional,Spain,1949,https://www.oei.int,https://oei.int/equipo/,Team / Management
Organization of Ibero-American States,OEI,Treaty IGO,Education & culture,Regional,Spain,1949,https://www.oei.int,https://oei.int/oficinas/secretaria-general/,General Secretariat
Arab Atomic Energy Agency,AAEA,Treaty IGO,Energy,Regional,Tunisia,1988,https://www.aaea.org.tn,http://www.aaea.org.tn/?page_id=905,Executive Council members
Arab Atomic Energy Agency,AAEA,Treaty IGO,Energy,Regional,Tunisia,1988,https://www.aaea.org.tn,http://www.aaea.org.tn/?page_id=898,General Conference members
Energy Charter Secretariat,ECT,Treaty IGO,Energy,Global,Belgium,1994,https://www.energycharter.org,https://www.energycharter.org/who-we-are/secretariat/staff/office-of-the-secretary-general-deputy-secretary-general/,Office of Secretary-General
Energy Charter Secretariat,ECT,Treaty IGO,Energy,Global,Belgium,1994,https://www.energycharter.org,https://www.energycharter.org/who-we-are/secretariat/staff/,Secretariat staff
Energy Community,EnC,Treaty IGO,Energy,Regional,Austria,2006,https://www.energy-community.org,https://www.energy-community.org/secretariat/organisation.html,Secretariat organisation
Energy Community,EnC,Treaty IGO,Energy,Regional,Austria,2006,https://www.energy-community.org,https://www.energy-community.org/secretariat/about.html,Secretariat / Director
Gas Exporting Countries Forum,GECF,Treaty IGO,Energy,Global,Qatar,2001,https://www.gecf.org,https://www.gecf.org/About-Us/Organisation/Secretary-General,Secretary General
Gas Exporting Countries Forum,GECF,Treaty IGO,Energy,Global,Qatar,2001,https://www.gecf.org,https://www.gecf.org/about/executive-board-ministers.aspx,"Executive Board, Ministers"
Gas Exporting Countries Forum,GECF,Treaty IGO,Energy,Global,Qatar,2001,https://www.gecf.org,https://www.gecf.org/About-Us/Organisation,Organisation
International Energy Agency,IEA,Treaty IGO,Energy,Global,France,1974,https://www.iea.org,https://www.iea.org/about/structure,Structure / management
International Energy Agency,IEA,Treaty IGO,Energy,Global,France,1974,https://www.iea.org,https://www.iea.org/contributors/fatih-birol,Executive Director
International Energy Forum,IEF,Treaty IGO,Energy,Global,Saudi Arabia,1991,https://www.ief.org,https://www.ief.org/about/leadership,Leadership
International Energy Forum,IEF,Treaty IGO,Energy,Global,Saudi Arabia,1991,https://www.ief.org,https://www.ief.org/about/secretary-general,Secretary General
International Renewable Energy Agency,IRENA,Treaty IGO,Energy,Global,United Arab Emirates,2009,https://www.irena.org,https://www.irena.org/About/Senior-Management,Senior Management
International Renewable Energy Agency,IRENA,Treaty IGO,Energy,Global,United Arab Emirates,2009,https://www.irena.org,https://www.irena.org/About/Institutional-Structure/Council,Council
International Renewable Energy Agency,IRENA,Treaty IGO,Energy,Global,United Arab Emirates,2009,https://www.irena.org,https://www.irena.org/Director-General,Director General
Latin American Energy Organization,OLADE,Treaty IGO,Energy,Regional,Ecuador,1973,https://www.olade.org,http://extranet.olade.org/institucional/executive-secretary/sobre-el-secretario-ejecutivo/?lang=en,Executive Secretary
Latin American Energy Organization,OLADE,Treaty IGO,Energy,Regional,Ecuador,1973,https://www.olade.org,https://www.olade.org/en/olade-about/,About / structure
Organization of Arab Petroleum Exporting Countries,OAPEC,Treaty IGO,Energy,Regional,Kuwait,1968,https://oapecorg.org,https://www.oapecorg.org/Home/About-Us/Organizational-Structure/Council-of-Ministers/General-Secretariat,General Secretariat
Organization of Arab Petroleum Exporting Countries,OAPEC,Treaty IGO,Energy,Regional,Kuwait,1968,https://oapecorg.org,https://www.oapecorg.org/Home/About-Us/Organizational-Structure/Council-of-Ministers,Council of Ministers
Organization of the Petroleum Exporting Countries,OPEC,Treaty IGO,Energy,Global,Austria,1960,https://www.opec.org,https://www.opec.org/secretary-general.html,Secretary General
Organization of the Petroleum Exporting Countries,OPEC,Treaty IGO,Energy,Global,Austria,1960,https://www.opec.org,https://www.opec.org/office-of-the-secretary-general.html,Office of Secretary General
Amazon Cooperation Treaty Organization,OTCA,Treaty IGO,Environment,Sub-regional,Brazil,1995,https://otca.org,https://otca.org/en/permanent-secretariat-of-the-amazon-cooperation-treaty-organization/,Permanent Secretariat
Amazon Cooperation Treaty Organization,OTCA,Treaty IGO,Environment,Sub-regional,Brazil,1995,https://otca.org,https://otca.org/en/who-we-are/,Who we are
Arctic Council,Arctic Council,Treaty IGO,Environment,Regional,Norway,1996,https://arctic-council.org,https://arctic-council.org/about/secretariat/,Secretariat
Arctic Council,Arctic Council,Treaty IGO,Environment,Regional,Norway,1996,https://arctic-council.org,https://arctic-council.org/about/,Organization
Arctic Council,Arctic Council,Treaty IGO,Environment,Regional,Norway,1996,https://arctic-council.org,https://arctic-council.org/about/previous-chairmanships/,Chairmanships
Commission for the Conservation of Antarctic Marine Living Resources,CCAMLR,Treaty IGO,Environment,Regional,Australia,1982,https://www.ccamlr.org,https://www.ccamlr.org/en/organisation/secretariats-current-staff,Staff list
Commission for the Conservation of Antarctic Marine Living Resources,CCAMLR,Treaty IGO,Environment,Regional,Australia,1982,https://www.ccamlr.org,https://www.ccamlr.org/en/organisation/secretariat,Secretariat
Commission for the Conservation of Antarctic Marine Living Resources,CCAMLR,Treaty IGO,Environment,Regional,Australia,1982,https://www.ccamlr.org,https://www.ccamlr.org/en/organisation/secretariat-structure,Secretariat structure
Convention on the Conservation of Migratory Species of Wild Animals,CMS,Treaty IGO,Environment,Global,Germany,1979,https://www.cms.int,https://www.cms.int/convention-bodies/secretariat/staff,Secretariat staff
Convention on the Conservation of Migratory Species of Wild Animals,CMS,Treaty IGO,Environment,Global,Germany,1979,https://www.cms.int,https://www.cms.int/en/convention-bodies/secretariat/list-executive-secretaries-convention-migratory-species,Executive Secretaries
Convention on the Conservation of Migratory Species of Wild Animals,CMS,Treaty IGO,Environment,Global,Germany,1979,https://www.cms.int,https://www.cms.int/about/secretariat,The Secretariat
Gambia River Basin Development Organisation,OMVG,Treaty IGO,Environment,Sub-regional,Senegal,1978,https://www.omvg.sn,,
General Fisheries Commission for the Mediterranean,GFCM,Treaty IGO,Environment,Regional,Italy,1949,https://www.fao.org/gfcm,https://www.fao.org/gfcm/about/structure/en/,Structure
Global Green Growth Institute,GGGI,Treaty IGO,Environment,Global,South Korea,2012,https://gggi.org,https://gggi.org/who-we-are/governance/,Governance
Indian Ocean Tuna Commission,IOTC,Treaty IGO,Environment,Regional,Seychelles,1996,https://iotc.org,https://iotc.org/about-iotc/staff,Secretariat staff
Indian Ocean Tuna Commission,IOTC,Treaty IGO,Environment,Regional,Seychelles,1996,https://iotc.org,https://iotc.org/about-iotc/structure-commission,Commission structure
Inter-American Tropical Tuna Commission,IATTC,Treaty IGO,Environment,Regional,United States,1949,https://www.iattc.org,https://www.iattc.org/StaffENG.htm,Staff organigram
International Commission for the Conservation of Atlantic Tunas,ICCAT,Treaty IGO,Environment,Regional,Spain,1966,https://www.iccat.int,https://www.iccat.int/en/staff.html,Staff
International Commission for the Conservation of Atlantic Tunas,ICCAT,Treaty IGO,Environment,Regional,Spain,1966,https://www.iccat.int,https://www.iccat.int/en/secretariat.html,Secretariat
International Commission for the Conservation of Atlantic Tunas,ICCAT,Treaty IGO,Environment,Regional,Spain,1966,https://www.iccat.int,https://www.iccat.int/en/organization.html,Commission structure
International Council for the Exploration of the Sea,ICES,Treaty IGO,Environment,Regional,Denmark,1902,https://www.ices.dk,https://www.ices.dk/about-ICES/who-we-are/Pages/Bureau.aspx,Bureau
International Council for the Exploration of the Sea,ICES,Treaty IGO,Environment,Regional,Denmark,1902,https://www.ices.dk,https://www.ices.dk/community/groups/Pages/COUNCIL.aspx,Council
International Seabed Authority,ISA,Treaty IGO,Environment,Global,Jamaica,1994,https://isa.org.jm,https://isa.org.jm/organs/the-secretariat/,The Secretariat
International Seabed Authority,ISA,Treaty IGO,Environment,Global,Jamaica,1994,https://isa.org.jm,https://isa.org.jm/the-secretary-general/,Secretary-General
International Seabed Authority,ISA,Treaty IGO,Environment,Global,Jamaica,1994,https://isa.org.jm,https://isa.org.jm/organs/the-council/,The Council
International Whaling Commission,IWC,Treaty IGO,Environment,Global,United Kingdom,1946,https://iwc.int,https://iwc.int/commission/bureau,IWC Bureau
International Whaling Commission,IWC,Treaty IGO,Environment,Global,United Kingdom,1946,https://iwc.int,https://iwc.int/secretariat,Secretariat
International Whaling Commission,IWC,Treaty IGO,Environment,Global,United Kingdom,1946,https://iwc.int,https://iwc.int/commission/members,Membership
Lake Chad Basin Commission,LCBC,Treaty IGO,Environment,Sub-regional,Chad,1964,https://cblt.org,https://cblt.org/management-team/,Management Team
Mekong River Commission,MRC,Treaty IGO,Environment,Sub-regional,Laos,1995,https://www.mrcmekong.org,https://www.mrcmekong.org/governance-and-organisational-structure/,Governance and structure
Mekong River Commission,MRC,Treaty IGO,Environment,Sub-regional,Laos,1995,https://www.mrcmekong.org,https://www.mrcmekong.org/senior-staff/,Senior staff
Mekong River Commission,MRC,Treaty IGO,Environment,Sub-regional,Laos,1995,https://www.mrcmekong.org,https://www.mrcmekong.org/mrc-secretariat/,MRC Secretariat
Niger Basin Authority,NBA,Treaty IGO,Environment,Sub-regional,Niger,1980,http://www.abn.ne,https://www.abn.ne/index.php/en/abn1/executive-secretariat/niger-basin-observatory,Executive Secretariat
Nile Basin Initiative,NBI,Treaty IGO,Environment,Sub-regional,Uganda,1999,https://nilebasin.org,https://nilebasin.org/center/nilesec,Secretariat (Nile-SEC)
Nile Basin Initiative,NBI,Treaty IGO,Environment,Sub-regional,Uganda,1999,https://nilebasin.org,https://nilebasin.org/about-us/who-we-are,Who We Are
North Atlantic Salmon Conservation Organization,NASCO,Treaty IGO,Environment,Regional,United Kingdom,1984,https://nasco.int,https://nasco.int/about/council/,Council
North Atlantic Salmon Conservation Organization,NASCO,Treaty IGO,Environment,Regional,United Kingdom,1984,https://nasco.int,https://nasco.int/about/,About / structure
North-East Atlantic Fisheries Commission,NEAFC,Treaty IGO,Environment,Regional,United Kingdom,1980,https://www.neafc.org,https://www.neafc.org/page/18,Structure of NEAFC
Northwest Atlantic Fisheries Organization,NAFO,Treaty IGO,Environment,Regional,Canada,1979,https://www.nafo.int,https://www.nafo.int/About-us/Secretariat,NAFO Secretariat
Northwest Atlantic Fisheries Organization,NAFO,Treaty IGO,Environment,Regional,Canada,1979,https://www.nafo.int,https://www.nafo.int/About-us/Commission,Commission
Organization for the Development of the Senegal River,OMVS,Treaty IGO,Environment,Sub-regional,Senegal,1972,https://www.omvs.org,https://www.omvs.org/gouvernance/,Gouvernance
Organization for the Development of the Senegal River,OMVS,Treaty IGO,Environment,Sub-regional,Senegal,1972,https://www.omvs.org,https://www.omvs.org/haut-commissariat/,Haut Commissariat
Permanent Interstate Committee for Drought Control in the Sahel,CILSS,Treaty IGO,Environment,Sub-regional,Burkina Faso,1973,https://www.cilss.int,https://www.cilss.int/presentation-du-cilss/,Presentation / structure
Secretariat of the Antarctic Treaty,ATS,Treaty IGO,Environment,Regional,Argentina,2004,https://www.ats.aq,https://www.ats.aq/e/secretariat.html,Secretariat staff
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora,CITES,Treaty IGO,Environment,Global,Switzerland,1973,https://cites.org,https://cites.org/eng/disc/sec/staff.php,Secretariat staff
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora,CITES,Treaty IGO,Environment,Global,Switzerland,1973,https://cites.org,https://cites.org/eng/about/sec/Secretary-General,Secretary-General
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora,CITES,Treaty IGO,Environment,Global,Switzerland,1973,https://cites.org,https://cites.org/eng/disc/sec/index.php,The CITES Secretariat
Secretariat of the Convention on Wetlands,Ramsar,Treaty IGO,Environment,Global,Switzerland,1971,https://www.ramsar.org,https://www.ramsar.org/about/bodies/secretariat,The Secretariat
Secretariat of the Convention on Wetlands,Ramsar,Treaty IGO,Environment,Global,Switzerland,1971,https://www.ramsar.org,https://www.ramsar.org/about/bodies/secretary-general,Secretary General
South Asian Cooperative Environment Programme,SACEP,Treaty IGO,Environment,Sub-regional,Sri Lanka,1982,http://www.sacep.org,http://www.sacep.org/organizational-structure,Organizational structure
South East Atlantic Fisheries Organisation,SEAFO,Treaty IGO,Environment,Regional,Namibia,2003,http://www.seafo.org,http://www.seafo.org/Management,Management
South East Atlantic Fisheries Organisation,SEAFO,Treaty IGO,Environment,Regional,Namibia,2003,http://www.seafo.org,http://www.seafo.org/SEAFO-Bodies/The-Secretariat/Staff-Regulations,Secretariat
South Pacific Regional Fisheries Management Organisation,SPRFMO,Treaty IGO,Environment,Regional,New Zealand,2012,https://www.sprfmo.int,https://www.sprfmo.int/about/secretariat,Secretariat staff
South Pacific Regional Fisheries Management Organisation,SPRFMO,Treaty IGO,Environment,Regional,New Zealand,2012,https://www.sprfmo.int,https://www.sprfmo.int/about/chairpersons,Chairpersons
Western and Central Pacific Fisheries Commission,WCPFC,Treaty IGO,Environment,Regional,Micronesia,2004,https://www.wcpfc.int,https://www.wcpfc.int/about/who-we-are/secretariat-staff,Secretariat staff
Western and Central Pacific Fisheries Commission,WCPFC,Treaty IGO,Environment,Regional,Micronesia,2004,https://www.wcpfc.int,https://www.wcpfc.int/about/who-we-are/wcpfc-officeholders,Officeholders
African Union Development Agency-NEPAD,AUDA-NEPAD,Treaty IGO,Finance & development,Regional,South Africa,2001,https://www.nepad.org,https://www.nepad.org/who-we-are/leadership,Leadership
African Union Development Agency-NEPAD,AUDA-NEPAD,Treaty IGO,Finance & development,Regional,South Africa,2001,https://www.nepad.org,https://www.nepad.org/ceo,CEO
Colombo Plan,Colombo Plan,Treaty IGO,Finance & development,Regional,Sri Lanka,1951,https://colombo-plan.org,https://colombo-plan.org/the-secretariat/,The Secretariat
Colombo Plan,Colombo Plan,Treaty IGO,Finance & development,Regional,Sri Lanka,1951,https://colombo-plan.org,https://colombo-plan.org/the-sg/,Secretary-General
Colombo Plan,Colombo Plan,Treaty IGO,Finance & development,Regional,Sri Lanka,1951,https://colombo-plan.org,https://colombo-plan.org/the_council/,The Council
Council of the Entente,Conseil de l'Entente,Treaty IGO,Finance & development,Sub-regional,Côte d'Ivoire,1959,https://www.conseildelentente.org,http://www.conseildelentente.org/index.php/institution/organes.html,Organes (governing bodies)
Council of the Entente,Conseil de l'Entente,Treaty IGO,Finance & development,Sub-regional,Côte d'Ivoire,1959,https://www.conseildelentente.org,http://conseildelentente.org/index.php/institution/historique/62-blog-du-se/65-presentation-du-secretaire-executif.html,Executive Secretary
Economic and Monetary Community of Central Africa,CEMAC,Treaty IGO,Finance & development,Sub-regional,Central African Republic,1994,https://www.cemac.int,https://cemac.int/commission/,The Commission
Economic and Monetary Community of Central Africa,CEMAC,Treaty IGO,Finance & development,Sub-regional,Central African Republic,1994,https://www.cemac.int,https://cemac.int/organes-communaute/,Community organs
Greater Mekong Subregion,GMS,Treaty IGO,Finance & development,Sub-regional,Philippines,1992,https://greatermekong.org,https://greatermekong.org/g/gms-contacts,GMS contacts
Inter-Arab Investment Guarantee Corporation,IAIGC,Treaty IGO,Finance & development,Regional,Kuwait,1974,https://www.iaigc.net,,
Liptako-Gourma Authority,ALG,Treaty IGO,Finance & development,Sub-regional,Burkina Faso,1970,https://www.liptakogourma.org,https://liptakogourma.org/alg-organigramme/,Organigramme
Liptako-Gourma Authority,ALG,Treaty IGO,Finance & development,Sub-regional,Burkina Faso,1970,https://www.liptakogourma.org,https://liptakogourma.org/conseil-des-ministres/,Council of Ministers
West African Economic and Monetary Union,WAEMU/UEMOA,Treaty IGO,Finance & development,Sub-regional,Burkina Faso,1994,https://www.uemoa.int,https://www.uemoa.int/en/organes/commission,The Commission
West African Economic and Monetary Union,WAEMU/UEMOA,Treaty IGO,Finance & development,Sub-regional,Burkina Faso,1994,https://www.uemoa.int,https://www.uemoa.int/en/message-from-the-president,President of Commission
African Peer Review Mechanism,APRM,Treaty IGO,General,Regional,South Africa,2003,https://www.aprm-au.org,https://www.aprm-au.org/apr-secretariat/,APR Secretariat
African Peer Review Mechanism,APRM,Treaty IGO,General,Regional,South Africa,2003,https://www.aprm-au.org,https://www.aprm-au.org/apr-forum/,APR Forum
African Union,AU,Treaty IGO,General,Regional,Ethiopia,2002,https://au.int,https://au.int/en/executivecouncil,Executive Council
African Union,AU,Treaty IGO,General,Regional,Ethiopia,2002,https://au.int,https://au.int/en/cpau,AU Chairperson
African Union,AU,Treaty IGO,General,Regional,Ethiopia,2002,https://au.int,https://au.int/en/auc-chairperson,AUC Chairperson
African Union Commission,AUC,Treaty IGO,General,Regional,Ethiopia,2002,https://au.int/en/commission,https://au.int/en/commission,The AU Commission
African Union Commission,AUC,Treaty IGO,General,Regional,Ethiopia,2002,https://au.int/en/commission,https://au.int/en/auc-chairperson,AUC Chairperson
African Union Commission,AUC,Treaty IGO,General,Regional,Ethiopia,2002,https://au.int/en/commission,https://au.int/en/cpauc6,Current Chairperson
Arab Maghreb Union,UMA,Treaty IGO,General,Sub-regional,Morocco,1989,https://maghrebarabe.org,https://maghrebarabe.org/en/the-general-secretariat/,General Secretariat
Arab Maghreb Union,UMA,Treaty IGO,General,Sub-regional,Morocco,1989,https://maghrebarabe.org,https://maghrebarabe.org/en/uma-institutions/,UMA Institutions
Arab Maghreb Union,UMA,Treaty IGO,General,Sub-regional,Morocco,1989,https://maghrebarabe.org,https://maghrebarabe.org/en/biography/,Secretary-General Biography
Arab Parliament,AP,Treaty IGO,General,Regional,Egypt,2005,http://www.ar-pr.org,http://www.ar-pr.org/CV/CvEnPress.pdf,President CV
Asia Cooperation Dialogue,ACD,Treaty IGO,General,Regional,Kuwait,2002,https://www.acd-dialogue.org,http://www.acd-dialogue.org/secretary-general-of-provisional-secretariat.html,Secretary-General Secretariat
Association of Caribbean States,ACS,Treaty IGO,General,Regional,Trinidad and Tobago,1994,https://www.acs-aec.org,https://www.acs-aec.org/en/about-us/structure-and-organisation,Structure and Organisation
Association of Caribbean States,ACS,Treaty IGO,General,Regional,Trinidad and Tobago,1994,https://www.acs-aec.org,https://www.acs-aec.org/en/basic/our-secretary-general,Our Secretary-General
Association of Caribbean States,ACS,Treaty IGO,General,Regional,Trinidad and Tobago,1994,https://www.acs-aec.org,https://www.acs-aec.org/en/about-us/office-chief-executive-coordinator,Chief Executive Coordinator
Association of Southeast Asian Nations,ASEAN,Treaty IGO,General,Regional,Indonesia,1967,https://asean.org,https://asean.org/what-we-do/secretary-general-of-asean/,Secretary-General
Association of Southeast Asian Nations,ASEAN,Treaty IGO,General,Regional,Indonesia,1967,https://asean.org,https://asean.org/what-we-do/secretary-general-of-asean/deputy-secretaries-general-of-asean/,Deputy Secretaries-General
Association of Southeast Asian Nations,ASEAN,Treaty IGO,General,Regional,Indonesia,1967,https://asean.org,https://asean.org/the-asean-secretariat-basic-mandate-functions-and-composition/organizational-structure-of-the-asean-secretariat-2/,Secretariat Structure
Baltic Assembly,BA,Treaty IGO,General,Sub-regional,Latvia,1991,https://baltasam.org,https://baltasam.org/about-us/presidium,Presidium
Baltic Assembly,BA,Treaty IGO,General,Sub-regional,Latvia,1991,https://baltasam.org,https://www.baltasam.org/about-us/secretariat,Secretariat
Bolivarian Alliance for the Peoples of Our America,ALBA-TCP,Treaty IGO,General,Regional,Venezuela,2004,https://www.albatcp.org,https://www.albatcp.org/acta/estructura-y-funcionamiento-alba-tcp/,Structure and Functioning
Bolivarian Alliance for the Peoples of Our America,ALBA-TCP,Treaty IGO,General,Regional,Venezuela,2004,https://www.albatcp.org,https://www.albatcp.org/comunicado/jorge-arreaza-secretario-ejecutivo/,Executive Secretary
Caribbean Community,CARICOM,Treaty IGO,General,Regional,Guyana,1973,https://caricom.org,https://caricom.org/executive-management/,Executive Management
Caribbean Community,CARICOM,Treaty IGO,General,Regional,Guyana,1973,https://caricom.org,https://caricom.org/our-community/who-we-are/our-governance/,Our Governance
Caribbean Community,CARICOM,Treaty IGO,General,Regional,Guyana,1973,https://caricom.org,https://caricom.org/secretaries-general/,Secretaries-General
Central American Integration System,SICA,Treaty IGO,General,Sub-regional,El Salvador,1991,https://www.sica.int,https://www.sica.int/estructura,Institutional Structure
Central American Integration System,SICA,Treaty IGO,General,Sub-regional,El Salvador,1991,https://www.sica.int,https://www.sica.int/sgsica/organigrama_sgsica,Secretariat Org Chart
Central American Integration System,SICA,Treaty IGO,General,Sub-regional,El Salvador,1991,https://www.sica.int,https://www.sica.int/instancias/secretaria-general-del-sistema-de-la-integracion-centroamericana-sg-sica_1.html,General Secretariat
